group,initialRank,proposedRank,joDerivedRank,sourceTeam,club,mappedInitialIdentity,assignedClubLevel,joDivision,joSubdivision,subdivisionFinish,divisionFinish,joRecord,reviewFlags
18U Girls,22,21,21,Mid Valley Blue,Mid Valley,Mid Valley,A,Championship,Platinum,21,21,6-2,Identity / color mapping
18U Girls,10,22,22,Foothill,Foothill,Foothill,A,Championship,Platinum,22,22,4-4,
18U Girls,21,23,23,Davis,Davis,Davis,A,Championship,Platinum,23,23,3-5,
18U Girls,NR,24,24,Big Valley,Big Valley,,A,Championship,Platinum,24,24,2-6,New / previously unranked
18U Girls,NR,25,25,Palos Verdes Black,PV WPC,,A,Championship,Gold,1,25,8-2,New / previously unranked
18U Girls,NR,26,26,Norcal Black,NorCal,,A,Championship,Gold,2,26,4-4,New / previously unranked
18U Girls,31,27,27,CHAWP White,CHAWP,CHAWP,A,Championship,Gold,3,27,5-3,Identity / color mapping
18U Girls,NR,28,28,Diablo Alliance B,Diablo Alliance,,B,Championship,Gold,4,28,4-5,New / previously unranked
18U Girls,NR,29,29,Hawaiian Islands,Hawaiian Islands,,A,Championship,Gold,5,29,5-4,New / previously unranked
18U Girls,NR,30,30,Bainbridge,Bainbridge,,A,Championship,Gold,6,30,3-5,New / previously unranked
18U Girls,27,31,31,Bulldog,Bulldog,Bulldog,A,Championship,Gold,7,31,4-4,
18U Girls,19,32,33,Seaside,Seaside,Seaside,A,Championship,Gold,9,33,4-4,
18U Girls,33,33,32,Asphalt Green,Asphalt Green,Asphalt Green,A,Championship,Gold,8,32,3-5,
18U Girls,28,34,34,South Coast Red,South Coast,South Coast,A,Championship,Gold,10,34,4-4,Identity / color mapping
18U Girls,NR,35,35,Skip,SKIP,,A,Championship,Gold,11,35,4-4,New / previously unranked
18U Girls,NR,36,36,SD Shores Gold,San Diego Shores,,B,Championship,Gold,12,36,3-6,New / previously unranked
18U Girls,NR,37,37,Rain City,Rain City,,A,Championship,Gold,13,37,4-3,New / previously unranked
18U Girls,NR,38,38,Colorado,Colorado,,A,Championship,Gold,14,38,3-6,New / previously unranked
18U Girls,NR,39,39,Viper Pigeon,Viper Pigeon,,A,Championship,Gold,15,39,3-6,New / previously unranked
18U Girls,NR,40,40,Oahu,Oahu,,A,Championship,Gold,16,40,2-5,New / previously unranked
18U Girls,36,41,41,Texas Thunder,Thunder,Thunder,A,Championship,Gold,17,41,3-4,Identity / color mapping
18U Girls,NR,42,42,Lyons Aquatics,Lyons Aquatics,,A,Championship,Gold,18,42,3-5,New / previously unranked
18U Girls,NR,43,43,Pacific Valley Premier,Pacific Valley Premier,,A,Championship,Gold,19,43,2-7,New / previously unranked
18U Girls,NR,44,44,Elmhurst,Elmhurst,,A,Championship,Gold,20,44,1-6,New / previously unranked
18U Girls,NR,45,45,Wolverine,Wolverine,,A,Championship,Gold,21,45,3-4,New / previously unranked
18U Girls,NR,46,46,North Idaho,North Idaho,,A,Championship,Gold,22,46,2-5,New / previously unranked
18U Girls,NR,47,47,Nipc,NIPC,,A,Championship,Gold,23,47,1-6,New / previously unranked
18U Girls,NR,48,48,Norco,Norco,,A,Championship,Gold,24,48,0-7,New / previously unranked
18U Girls,18,49,49,Tsunami,Rancho Tsunami,Tsunami,A,Classic,Platinum,1,1,6-1,Large movement from initial WPI
18U Girls,30,50,50,LB Viking Blue,Viking,LB Viking White,B,Classic,Platinum,2,2,6-1,Identity / color mapping; Large movement from initial WPI
18U Girls,26,51,51,San Clemente,San Clemente,San Clemente,A,Classic,Platinum,3,3,6-1,Large movement from initial WPI
18U Girls,29,52,52,Patriot Navy,Patriot,Patriot,A,Classic,Platinum,4,4,5-3,Identity / color mapping; Large movement from initial WPI
18U Girls,NR,53,53,Sacramento,Sacramento,,A,Classic,Platinum,5,5,6-2,New / previously unranked
18U Girls,32,54,54,Santa Barbara WPC C,Santa Barbara,SBWPC C,C,Classic,Platinum,6,6,5-3,Identity / color mapping; 3-team club depth; Large movement from initial WPI
18U Girls,NR,55,55,LA Jolla United,La Jolla United,,B,Classic,Platinum,7,7,5-2,New / previously unranked
18U Girls,23,56,56,Socal Gold,SoCal,SoCal Gold,B,Classic,Platinum,8,8,4-3,Large movement from initial WPI
18U Girls,NR,57,57,Alameda,Alameda,,A,Classic,Platinum,9,9,5-2,New / previously unranked
18U Girls,NR,58,58,WCAC United,WCAC United,,A,Classic,Platinum,10,10,4-3,New / previously unranked
18U Girls,NR,59,59,American River,American River,,A,Classic,Platinum,11,11,4-4,New / previously unranked
18U Girls,NR,60,60,West Valley,West Valley,,A,Classic,Platinum,12,12,3-5,New / previously unranked
18U Girls,NR,61,61,Nc Select,Nc Select,,A,Classic,Platinum,13,13,6-2,New / previously unranked
18U Girls,NR,62,62,San Jose Almaden,San Jose Almaden,,A,Classic,Platinum,14,14,4-4,New / previously unranked
18U Girls,20,63,63,CHAWP Blue,CHAWP,CHAWP B,B,Classic,Platinum,15,15,5-4,Identity / color mapping; Large movement from initial WPI
18U Girls,NR,64,64,Mid Valley White,Mid Valley,,B,Classic,Platinum,16,16,3-5,New / previously unranked
18U Girls,NR,65,65,Mavericks,Mavericks,,A,Classic,Platinum,17,17,4-2,New / previously unranked
18U Girls,NR,66,66,Tri Valley,Tri Valley,,A,Classic,Platinum,18,18,3-4,New / previously unranked
18U Girls,NR,67,67,Kearns,Kearns,,A,Classic,Platinum,19,19,3-3,New / previously unranked
18U Girls,NR,68,68,Praetorian,Praetorian,,A,Classic,Platinum,20,20,2-4,New / previously unranked
18U Girls,NR,69,70,A Town,A Town,,A,Classic,Platinum,22,22,5-3,New / previously unranked
18U Girls,NR,70,69,A Team Called Quest,A Team Called Quest,,A,Classic,Platinum,21,21,3-3,New / previously unranked
18U Girls,NR,71,72,Chicago Park,Chicago Park,,A,Classic,Platinum,24,24,3-3,New / previously unranked
18U Girls,NR,72,71,Chula Vista Premier,CV Premier,,A,Classic,Platinum,23,23,3-5,New / previously unranked
18U Girls,35,73,73,North Irvine,North Irvine,North Irvine,A,Classic,Gold,1,25,4-4,Large movement from initial WPI
18U Girls,NR,74,74,San Jose Express,San Jose Express,,A,Classic,Gold,2,26,3-4,New / previously unranked
18U Girls,34,75,75,Commerce,Commerce,Commerce,A,Classic,Gold,3,27,4-6,Large movement from initial WPI
18U Girls,NR,76,76,Kern Premier,SKIP,,B,Classic,Gold,4,28,2-5,New / previously unranked
18U Girls,NR,77,77,Sfv,SFV,,A,Classic,Gold,5,29,2-4,New / previously unranked
18U Girls,NR,78,78,Southside,Southside,,A,Classic,Gold,6,30,5-4,New / previously unranked
18U Girls,NR,79,79,Brooklyn Hustle,Brooklyn Hustle,,A,Classic,Gold,7,31,3-3,New / previously unranked
18U Girls,NR,80,80,Nwc,Nwc,,A,Classic,Gold,8,32,2-4,New / previously unranked
18U Girls,NR,81,81,Longhorn,Longhorn,,A,Classic,Gold,9,33,5-3,New / previously unranked
18U Girls,NR,82,82,LA Verne Legends,La Verne Legends,,A,Classic,Gold,10,34,3-4,New / previously unranked
18U Girls,NR,83,83,Tri Valley Tritons,Tri Valley Tritons,,A,Classic,Gold,11,35,2-4,New / previously unranked
18U Girls,NR,84,84,Hilo Hammahz,Hilo Hammahz,,A,Classic,Gold,12,36,3-5,New / previously unranked
18U Girls,NR,85,85,Burlingame,Burlingame,,A,Classic,Gold,13,37,4-3,New / previously unranked
18U Girls,NR,86,86,Central Coast,Central Coast,,A,Classic,Gold,14,38,2-5,New / previously unranked
18U Girls,NR,87,87,Dart,Dart,,A,Classic,Gold,15,39,2-7,New / previously unranked
18U Girls,NR,88,88,Wildkit,Wildkit,,A,Classic,Gold,16,40,2-6,New / previously unranked
18U Girls,NR,89,89,Moose,Moose,,A,Classic,Gold,17,41,3-4,New / previously unranked
18U Girls,NR,90,90,Atwater,Atwater,,A,Classic,Gold,18,42,2-5,New / previously unranked
18U Girls,37,91,91,Sand Canyon,Sand Canyon,Sand Canyon,A,Classic,Gold,19,43,1-6,Large movement from initial WPI
18U Girls,NR,92,92,Hilo Grammaz,Hilo Grammaz,,A,Classic,Gold,20,44,0-7,New / previously unranked
