group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
12U Girls,25,North Irvine,north-irvine-12u-girls,North Irvine,north-irvine,Orange County,1,primary/A-level,1550.0,0,27,Futures Super Finals,1-3,manual_review_12u_girls_coed_context_capped,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-12u-girls,club.html?club=north-irvine,,,,
12U Girls,26,La Jolla United,la-jolla-united-12u-girls,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1534.0,0,15,Futures Super Finals,0-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-12u-girls,club.html?club=la-jolla-united,,,,
12U Girls,27,Back Bay Black,back-bay-black-12u-girls,Back Bay,back-bay,Orange County,2,secondary/B-level,1527.6,0,10,SOPAC JO Quals,1-1,manual_review_12u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Back Bay Navy #5 (back-bay-navy-12u-girls),Back Bay Navy #5 depth=1,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay-black-12u-girls,club.html?club=back-bay,,,,
12U Girls,28,South Coast Red,south-coast-red-12u-girls,South Coast,south-coast,Orange County,1,primary/A-level,1509.6,0,19,Futures Super Finals,0-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-red-12u-girls,club.html?club=south-coast,,,,
12U Girls,29,Palos Verdes,palos-verdes-12u-girls,Palos Verdes,palos-verdes,Los Angeles,1,primary/A-level,1501.0,0,6,Turbo OC Cup,3-1,manual_review_12u_girls_coed_context_capped|manual_review_12u_girls_d2_guardrail,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/palos-verdes.webp,team.html?team=palos-verdes-12u-girls,club.html?club=palos-verdes,,,,
12U Girls,30,Laguna Beach,laguna-beach-12u-girls,Laguna Beach,laguna-beach,Orange County,1,primary/A-level,1499.6,0,12,SOPAC JO Quals,1-3,manual_review_12u_girls_coed_context_capped,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/laguna-beach.webp,team.html?team=laguna-beach-12u-girls,club.html?club=laguna-beach,,,,
12U Girls,31,CIU,ciu-12u-girls,CIU,ciu,Central Coast,1,primary/A-level,1493.5,0,5,CCA JO Quals,1-4,manual_review_12u_girls_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-12u-girls,club.html?club=ciu,,,,
12U Girls,32,SBWPC B,sbwpc-b-12u-girls,SBWPC,sbwpc,Central Coast,2,secondary/B-level,1486.0,0,5,CCA JO Quals,2-3,manual_review_12u_girls_depth_guardrail|manual_review_12u_girls_low_game_count,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SBWPC A #15 (sbwpc-a-12u-girls),SBWPC A #15 depth=1,,,,assets/logos/canonical/sbwpc.webp,team.html?team=sbwpc-b-12u-girls,club.html?club=sbwpc,,,,
12U Girls,33,Diablo Alliance A,diablo-alliance-a-12u-girls,Diablo Alliance,diablo-alliance,East Bay,1,primary/A-level,1457.6,0,9,US Club Championships,0-5,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/diablo-alliance.webp,team.html?team=diablo-alliance-a-12u-girls,club.html?club=diablo-alliance,,,,
12U Girls,34,Lamorinda C,lamorinda-c-12u-girls,Lamorinda,lamorinda,East Bay,3,tertiary/C-level,1451.0,0,7,Pacific Zone JO Quals,2-3,manual_review_12u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Lamorinda A #3 (lamorinda-a-12u-girls); Lamorinda B #22 (lamorinda-b-12u-girls),Lamorinda A #3 depth=1; Lamorinda B #22 depth=2,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-c-12u-girls,club.html?club=lamorinda,,,,
12U Girls,35,Stanford B,stanford-b-12u-girls,Stanford,stanford,Peninsula / San Francisco,2,secondary/B-level,1429.3,0,5,Pacific Zone JO Quals,1-4,manual_review_12u_girls_depth_guardrail|manual_review_12u_girls_low_game_count,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford A #8 (stanford-a-12u-girls),Stanford A #8 depth=1,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-b-12u-girls,club.html?club=stanford,,,,
12U Girls,36,CMAC,cmac-12u-girls,CMAC,cmac,Orange County,1,primary/A-level,1403.4,0,14,SOPAC JO Quals,0-2,manual_review_12u_girls_coed_context_capped,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/cmac.webp,team.html?team=cmac-12u-girls,club.html?club=cmac,,,,
12U Girls,37,Whittier,whittier-12u-girls,Whittier,whittier,Los Angeles,1,primary/A-level,1395.6,0,5,CCA JO Quals,0-5,manual_review_12u_girls_low_game_count,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/whittier.webp,team.html?team=whittier-12u-girls,club.html?club=whittier,,,,
12U Girls,38,San Clemente Black,san-clemente-black-12u-girls,San Clemente,san-clemente,Orange County,2,secondary/B-level,1360.0,0,7,SOPAC JO Quals,0-3,manual_review_12u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,San Clemente Red #4 (san-clemente-red-12u-girls),San Clemente Red #4 depth=1,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-black-12u-girls,club.html?club=san-clemente,,,,
14U Boys,1,NorCal A,norcal-a,NorCal,norcal,Peninsula / San Francisco,1,primary/A-level,2161.0,1,8,Quiksilver Cup,1 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,NorCal B #58 (norcal-b); NorCal C #80 (norcal-c),NorCal B #58 depth=2; NorCal C #80 depth=3,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal-a,club.html?club=norcal,,,,
14U Boys,2,Mission A,mission-a,Mission,mission,Orange County,1,primary/A-level,2076.3,1,14,Quiksilver Cup,3 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Mission B #22 (mission-b),Mission B #22 depth=2,,,,assets/logos/canonical/mission.webp,team.html?team=mission-a,club.html?club=mission,,,,
14U Boys,3,La Jolla United A,la-jolla-united-a,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,2068.0,-2,10,Quiksilver Cup,15 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,La Jolla United B #41 (la-jolla-united-b),La Jolla United B #41 depth=2,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-a,club.html?club=la-jolla-united,,,,
14U Boys,4,Newport Beach A,newport-beach-a,Newport Beach,newport-beach,Orange County,1,primary/A-level,2037.7,3,6,Quiksilver Cup,2 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Newport Beach B #34 (newport-beach-b),Newport Beach B #34 depth=2,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-a,club.html?club=newport-beach,,,,
14U Boys,5,LA Premier A,la-premier-a,LA Premier,la-premier,Los Angeles,1,primary/A-level,2011.0,-1,6,Quiksilver Cup,4 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/la-premier.webp,team.html?team=la-premier-a,club.html?club=la-premier,,,,
14U Boys,6,CIU A,ciu-a,CIU,ciu,Central Coast,1,primary/A-level,2006.1,2,5,Quiksilver Cup,5 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-a,club.html?club=ciu,,,,
14U Boys,7,SD Dons A,sd-dons-a,SD Dons,sd-dons,San Diego,1,primary/A-level,2000.9,-2,6,Quiksilver Cup,14 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,SD Dons B #65 (sd-dons-b),SD Dons B #65 depth=2,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-a,club.html?club=sd-dons,,,,
14U Boys,8,OVAC A,ovac-a,OVAC,ovac,Los Angeles,1,primary/A-level,1992.6,-2,6,Futures Super Finals,3-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/ovac.webp,team.html?team=ovac-a,club.html?club=ovac,,,,
14U Boys,9,908,908,908,908,Central Coast,1,primary/A-level,1981.6,0,6,Quiksilver Cup,7 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/908.webp,team.html?team=908,club.html?club=908,,,,
14U Boys,10,Patriot A,patriot-a,Patriot,patriot,Orange County,1,primary/A-level,1976.3,0,6,Futures Super Finals,2-4,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Patriot B #28 (patriot-b); Patriot Red #78 (patriot-red),Patriot B #28 depth=2,,,,assets/logos/canonical/patriot.webp,team.html?team=patriot-a,club.html?club=patriot,,,,
14U Boys,11,San Diego Shores A,san-diego-shores-a,San Diego Shores,san-diego-shores,San Diego,1,primary/A-level,1953.0,1,5,Quiksilver Cup,9 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/san-diego-shores.webp,team.html?team=san-diego-shores-a,club.html?club=san-diego-shores,,,,
14U Boys,12,Commerce A,commerce-a,Commerce,commerce,Los Angeles,1,primary/A-level,1949.3,-1,5,Quiksilver Cup,10 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/commerce.webp,team.html?team=commerce-a,club.html?club=commerce,,,,
14U Boys,13,Stanford A,stanford-a,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,1948.9,0,6,Futures Super Finals,4-1,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford B #44 (stanford-b); Stanford C #64 (stanford-c),Stanford B #44 depth=2; Stanford C #64 depth=3,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-a,club.html?club=stanford,,,,
14U Boys,14,Vanguard A,vanguard-a,Vanguard,vanguard,Orange County,1,primary/A-level,1936.4,0,16,Futures Super Finals,1-4,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Vanguard B #43 (vanguard-b); Vanguard C #66 (vanguard-c),Vanguard B #43 depth=2; Vanguard C #66 depth=3,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-a,club.html?club=vanguard,,,,
14U Boys,15,Lamorinda A,lamorinda-a,Lamorinda,lamorinda,East Bay,1,primary/A-level,1933.1,1,6,Quiksilver Cup,12 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Lamorinda B #55 (lamorinda-b); Lamorinda C #103 (lamorinda-c),Lamorinda B #55 depth=2; Lamorinda C #103 depth=3,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a,club.html?club=lamorinda,,,,
14U Boys,16,South Coast A,south-coast-a,South Coast,south-coast,Orange County,1,primary/A-level,1920.2,1,8,Futures Super Finals,3-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,South Coast B #53 (south-coast-b); South Coast C #91 (south-coast-c),South Coast B #53 depth=2; South Coast C #91 depth=3,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-a,club.html?club=south-coast,,,,
14U Boys,17,Shore Aquatics A,shore-aquatics-a,Shore Aquatics,shore-aquatics,Los Angeles,1,primary/A-level,1914.2,1,11,Futures Super Finals,4-1,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/shore-aquatics.webp,team.html?team=shore-aquatics-a,club.html?club=shore-aquatics,,,,
14U Boys,18,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami,rancho-tsunami,Inland Empire,1,primary/A-level,1906.6,-3,5,Quiksilver Cup,16 of 16,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rancho-tsunami.webp,team.html?team=rancho-tsunami-a,club.html?club=rancho-tsunami,,,,
14U Boys,19,CC United A,cc-united-a,CC United,cc-united,East Bay,1,primary/A-level,1897.0,0,7,Quiksilver Cup,11 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CC United B #35 (cc-united-b); CC United C #93 (cc-united-c),CC United B #35 depth=2; CC United C #93 depth=3,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-a,club.html?club=cc-united,,,,
14U Boys,20,North Irvine A,north-irvine-a,North Irvine,north-irvine,Orange County,1,primary/A-level,1894.0,4,9,Quiksilver Cup,6 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,North Irvine B #89 (north-irvine-b),North Irvine B #89 depth=2,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-a,club.html?club=north-irvine,,,,
14U Boys,21,CDM A,cdm-a,CDM,cdm,Orange County,1,primary/A-level,1886.9,-1,10,Quiksilver Cup,13 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm-a,club.html?club=cdm,,,,
14U Boys,22,Mission B,mission-b,Mission,mission,Orange County,2,B/depth team,1886.3,-1,9,Futures Super Finals,4-1,depth_team_top_50_review|depth_team_top_25_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Mission A #2 (mission-a),Mission A #2 depth=1,,,,assets/logos/canonical/mission.webp,team.html?team=mission-b,club.html?club=mission,,,,
14U Boys,23,Diablo Alliance A,diablo-alliance-a,Diablo Alliance,diablo-alliance,East Bay,1,primary/A-level,1881.7,-1,5,Futures Super Finals,2-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Diablo Alliance B #60 (diablo-alliance-b),Diablo Alliance B #60 depth=2,,,,assets/logos/canonical/diablo-alliance.webp,team.html?team=diablo-alliance-a,club.html?club=diablo-alliance,,,,
14U Boys,24,San Clemente A,san-clemente-a,San Clemente,san-clemente,Orange County,1,primary/A-level,1878.0,-1,5,Futures Super Finals,3-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review,Review whether this is a true separate team or alias merge. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,San Clemente Red #70 (san-clemente-red),,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-a,club.html?club=san-clemente,,,,
14U Boys,25,Temple City A,temple-city-a,Temple City,temple-city,Los Angeles,1,primary/A-level,1874.0,0,5,Futures Super Finals,4-1,d2_team_upper_band_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/temple-city.webp,team.html?team=temple-city-a,club.html?club=temple-city,,,,
14U Boys,26,Pride A,pride-a,Pride,pride,Inland Empire,1,primary/A-level,1849.8,0,6,Futures Super Finals,3-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Pride B #85 (pride-b),Pride B #85 depth=2,,,,assets/logos/canonical/pride.webp,team.html?team=pride-a,club.html?club=pride,,,,
14U Boys,27,SOCAL A,socal-a,SOCAL,socal,Orange County,1,primary/A-level,1849.7,0,5,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-a,club.html?club=socal,,,,
14U Boys,28,Patriot B,patriot-b,Patriot,patriot,Orange County,2,B/depth team,1842.6,0,7,Futures Super Finals,3-2,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Patriot A #10 (patriot-a); Patriot Red #78 (patriot-red),Patriot A #10 depth=1,,,,assets/logos/canonical/patriot.webp,team.html?team=patriot-b,club.html?club=patriot,,,,
14U Boys,29,Devils Gate A,devils-gate-a,Devils Gate,devils-gate,Los Angeles,1,primary/A-level,1812.4,0,9,Futures Super Finals,4-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/devils-gate.webp,team.html?team=devils-gate-a,club.html?club=devils-gate,,,,
14U Boys,30,680 A,680-a,680,680,East Bay,1,primary/A-level,1810.8,0,7,Futures Super Finals,3-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 B #50 (680-b); 680 C #76 (680-c),680 B #50 depth=2; 680 C #76 depth=3,,,,assets/logos/canonical/680.webp,team.html?team=680-a,club.html?club=680,,,,
14U Boys,31,Davis A,davis-a,Davis,davis,Sacramento,1,primary/A-level,1801.3,0,5,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/davis.webp,team.html?team=davis-a,club.html?club=davis,,,,
14U Boys,32,Los Alamitos A,los-alamitos-a,Los Alamitos,los-alamitos,Orange County,1,primary/A-level,1799.0,0,5,Futures Super Finals,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/los-alamitos.webp,team.html?team=los-alamitos-a,club.html?club=los-alamitos,,,,
14U Boys,33,Back Bay A,back-bay-a,Back Bay,back-bay,Orange County,1,primary/A-level,1794.2,0,9,Futures Super Finals,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay-a,club.html?club=back-bay,,,,
14U Boys,34,Newport Beach B,newport-beach-b,Newport Beach,newport-beach,Orange County,2,B/depth team,1792.1,0,5,Futures Super Finals,3-2,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Newport Beach A #4 (newport-beach-a),Newport Beach A #4 depth=1,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-b,club.html?club=newport-beach,,,,
14U Boys,35,CC United B,cc-united-b,CC United,cc-united,East Bay,2,B/depth team,1788.9,0,5,Futures Super Finals,3-2,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CC United A #19 (cc-united-a); CC United C #93 (cc-united-c),CC United A #19 depth=1; CC United C #93 depth=3,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-b,club.html?club=cc-united,,,,
14U Boys,36,Santa Barbara A,santa-barbara-a,Santa Barbara,santa-barbara,Central Coast,1,primary/A-level,1775.6,0,5,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/santa-barbara.webp,team.html?team=santa-barbara-a,club.html?club=santa-barbara,,,,
14U Boys,37,Pegasus A,pegasus-a,Pegasus,pegasus,Peninsula / San Francisco,1,primary/A-level,1775.4,0,5,Futures Super Finals,0-5,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/pegasus.webp,team.html?team=pegasus-a,club.html?club=pegasus,,,,
14U Boys,38,LAWPC A,lawpc-a,LAWPC,lawpc,Los Angeles,1,primary/A-level,1768.7,0,5,Futures Super Finals,4-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/lawpc.webp,team.html?team=lawpc-a,club.html?club=lawpc,,,,
14U Boys,39,Foothill Club A,foothill-club-a,Foothill Club,foothill-club,Orange County,1,primary/A-level,1755.4,0,6,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/foothill-club.webp,team.html?team=foothill-club-a,club.html?club=foothill-club,,,,
14U Boys,40,Vegas Renegades A,vegas-renegades-a,Vegas Renegades,vegas-renegades,Out of State,1,primary/A-level,1740.4,0,5,Futures Super Finals,4-1,d3_team_upper_band_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/vegas-renegades.webp,team.html?team=vegas-renegades-a,club.html?club=vegas-renegades,,,,
14U Boys,41,La Jolla United B,la-jolla-united-b,La Jolla United,la-jolla-united,San Diego,2,B/depth team,1727.4,0,5,Futures Super Finals,2-3,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,La Jolla United A #3 (la-jolla-united-a),La Jolla United A #3 depth=1,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-b,club.html?club=la-jolla-united,,,,
14U Boys,42,Skip A,skip-a,Skip,skip,Central Valley,1,primary/A-level,1717.8,0,5,Futures Super Finals,5-0,d3_team_upper_band_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/skip.webp,team.html?team=skip-a,club.html?club=skip,,,,
14U Boys,43,Vanguard B,vanguard-b,Vanguard,vanguard,Orange County,2,B/depth team,1711.4,0,11,Futures Super Finals,3-2,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Vanguard A #14 (vanguard-a); Vanguard C #66 (vanguard-c),Vanguard A #14 depth=1; Vanguard C #66 depth=3,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-b,club.html?club=vanguard,,,,
14U Boys,44,Stanford B,stanford-b,Stanford,stanford,Peninsula / San Francisco,2,B/depth team,1710.0,0,5,Futures Super Finals,2-3,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford A #13 (stanford-a); Stanford C #64 (stanford-c),Stanford A #13 depth=1; Stanford C #64 depth=3,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-b,club.html?club=stanford,,,,
14U Boys,45,Rose Bowl A,rose-bowl-a,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1699.3,0,5,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-a,club.html?club=rose-bowl,,,,
14U Boys,46,Northwest A,northwest-a,Northwest,northwest,Out of State,1,primary/A-level,1695.1,0,5,Futures Super Finals,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/northwest.webp,team.html?team=northwest-a,club.html?club=northwest,,,,
14U Boys,47,Trojan A,trojan-a,Trojan,trojan,Los Angeles,1,primary/A-level,1689.7,0,5,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-a,club.html?club=trojan,,,,
14U Boys,48,Kingsburg A,kingsburg-a,Kingsburg,kingsburg,Central Valley,1,primary/A-level,1689.5,0,5,Futures Super Finals,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/kingsburg.webp,team.html?team=kingsburg-a,club.html?club=kingsburg,,,,
14U Boys,49,Alameda A,alameda-a,Alameda,alameda,East Bay,1,primary/A-level,1683.3,0,5,Futures Super Finals,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/alameda.webp,team.html?team=alameda-a,club.html?club=alameda,,,,
