"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","",""
"21-Jul","11:00 AM","13-15 RR","VILLA PARK HS","179","bz_X2","","bz_X3","","","","14GX-179","","bz_13-15 RR","","","","","","","","","","","",""
"","","","OCEAN VIEW HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","9th","OCEAN VIEW HS 1","182","W149","","W150","","ag_9th","","14GX-182","","ag_9th","","","","","","","","","","","",""
"21-Jul","8:00 AM","7th","OCEAN VIEW HS 1","185","L145","","L146","","ag_7th","","14GX-185","","ag_7th","","","","","","","","","","","",""
"21-Jul","9:00 AM","5th","OCEAN VIEW HS 1","186","L161","","L162","","ag_5th","","14GX-186","","ag_5th","","","","","","","","","","","",""
"21-Jul","10:00 AM","5th","OCEAN VIEW HS 1","187","L163","","L164","","bz_5th","","14GX-187","","bz_5th","","","","","","","","","","","",""
"21-Jul","11:00 AM","7th","OCEAN VIEW HS 1","188","L147","","L148","","bz_7th","","14GX-188","","bz_7th","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","semi","BECKMAN HS 1","171","W124","","W163","","191","192","14GX-171","","bz_semi","","","","","","","","","","","",""
"21-Jul","8:00 AM","semi","BECKMAN HS 1","172","W123","","W164","","191","192","14GX-172","","bz_semi","","","","","","","","","","","",""
"21-Jul","9:00 AM","semi","BECKMAN HS 1","173","W122","","W161","","189","190","14GX-173","","ag_semi","","","","","","","","","","","",""
"21-Jul","10:00 AM","semi","BECKMAN HS 1","174","W121","","W162","","189","190","14GX-174","","ag_semi","","","","","","","","","","","",""
"21-Jul","11:00 AM","3rd","BECKMAN HS 1","192","L171","","L172","","bz_3rd","","14GX-192","","bz_3rd","","","","","","","","","","","",""
"21-Jul","12:00 PM","1st","BECKMAN HS 1","191","W171","","W172","","bz_1st","","14GX-191","","bz_1st","","","","","","","","","","","",""
"21-Jul","1:00 PM","3rd","BECKMAN HS 1","190","L173","","L174","","ag_3rd","","14GX-190","","ag_3rd","","","","","","","","","","","",""
"21-Jul","2:00 PM","1st","BECKMAN HS 1","189","W173","","W174","","ag_1st","","14GX-189","","ag_1st","","","","","","","","","","","",""
"","","bz_Place","","","","","","","","","","","","","","","","","","","","","","",""
"","","1st","W191","","","","","","","","","","","","","","","","","","","","","",""
"","","2nd","L191","","","","","","","","","","","","","","","","","","","","","",""
"","","3rd","W192","","","","","","","","","","","","","","","","","","","","","",""
"","","4th","L192","","","","","","","","","","","","","","","","","","","","","",""
"","","5th","W187","","","","","","","","","","","","","","","","","","","","","",""
"","","6th","L187","","","","","","","","","","","","","","","","","","","","","",""
"","","7th","W188","","","","","","","","","","","","","","","","","","","","","",""
"","","8th","L188","","","","","","","","","","","","","","","","","","","","","",""
"","","9th","W183","","","","","","","","","","","","","","","","","","","","","",""
"","","10th","L183","","","","","","","","","","","","","","","","","","","","","",""
"","","11th","W184","","","","","","","","","","","","","","","","","","","","","",""
"","","12th","L184","","","","","","","","","","","","","","","","","","","","","",""
"","","13th","","","","","","","","","","","","","","","","","","","","","","",""
"","","14th","","","","","","","","","","","","","","","","","","","","","","",""
"","","15th","","","","","","","","","","","","","","","","","","","","","","",""
