"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","Teams","","","","","","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","PORTOLA HS 1","141","3rd_ag_T-CHAWP BLUE","10.2","3rd_ag_R-LAMORINDA BRENTWOOD","10.3","ag_21-24 RR","","16GX-141","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","PORTOLA HS 1","145","W125-LEGACY ORANGE","7","W129-MIDVALLEY BLUE","5","161","185","16GX-145","","ag_5-6 v 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","PORTOLA HS 1","149","L129-ASPHALT GREEN","6","L125-CORONA DEL MAR","7","182","181","16GX-149","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","13-16 semi","PORTOLA HS 1","153","W133-FOOTHILL","8","W137-CAL REPUBLIC","9","178","177","16GX-153","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","6:00 PM","17-20 semi","PORTOLA HS 1","157","L137-680 BLUE","6.2","L133-SACRAMENTO BLACK","6.3","170","169","16GX-157","","ag_17-20 semi","","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","PORTOLA HS 1","161","L121-SET","6","W145-LEGACY ORANGE","11","173","186","16GX-161","","ag_play to semi","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","GOLDEN WEST COLLEGE 1","118","3rd ag_U-SURF CITY","14","3rd_ag_R-LAMORINDA BRENTWOOD","4","ag_21-24 RR","","16GX-118","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","9:00 AM","play to semi","GOLDEN WEST COLLEGE 1","122","1st_ag_M-REGENCY","14","1st_ag_P-STANFORD B","6","173","162","16GX-122","","ag_play to semi","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","GOLDEN WEST COLLEGE 1","126","2nd ag_O-SOCAL BLACK","10","W112-ROSE BOWL RED A","7","146","150","16GX-126","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","GOLDEN WEST COLLEGE 1","130","2nd_ag_N-LAMORINDA B","15","W109-SOUTH COAST WHITE","8","146","150","16GX-130","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","GOLDEN WEST COLLEGE 1","134","L109-COMMERCE","9","2nd_ag_T-ALAMEDA","7","154","158","16GX-134","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","GOLDEN WEST COLLEGE 1","138","L111-TRILOGY","11.4","2nd_ag_R-LB SHORE","11.5","154","158","16GX-138","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","GOLDEN WEST COLLEGE 1","142","3rd ag_U-SURF CITY","11","3rd_ag_S-LA JOLLA UNITED	","3","ag_21-24 RR","","16GX-142","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","GOLDEN WEST COLLEGE 1","146","W126-SOCAL BLACK","12","W130-LAMORINDA B","14","162","185","16GX-146","","ag_5-6 v 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","GOLDEN WEST COLLEGE 1","150","L130-SOUTH COAST WHITE","4","L126-ROSE BOWL RED A","8","182","181","16GX-150","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","13-16 semi","GOLDEN WEST COLLEGE 1","154","W134-COMMERCE","8","W138-LB SHORE","12","178","177","16GX-154","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","6:00 PM","17-20 semi","GOLDEN WEST COLLEGE 1","158","L138-TRILOGY","7","L134-ALAMEDA","6","170","169","16GX-158","","ag_17-20 semi","","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","GOLDEN WEST COLLEGE 1","162","L122-STANFORD B","7","W146-LAMORINDA B","10","174","186","16GX-162","","ag_play to semi","","","","","","","","","","","",""
"","","bz_X","","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_X1(L115)-SACRAMENTO ORANGE	","","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_X2(L67)-BURLINGAME","","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_X3(L83)-NORCAL TEAL","","","","","","","","","","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","7:00 AM","bracket","MARINA HS","136","bz_W1(L116)-TRI VALLEY","7","bz_W3(W83)-TRI VALLEY TRITONS","11","bracket","","16GX-136","","bz_bracket","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","MARINA HS","128","2nd_bz_O-SOUTH VALLEY","12","W116-WCAC UNITED B","11","148","152","16GX-128","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","MARINA HS","132","2nd_bz_N-LOYOLA VENICE","10","W113-ROSE BOWL BLACK","11","148","152","16GX-132","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","19-21 RR","MARINA HS","120","bz_X1(L115)-SACRAMENTO ORANGE	","4","bz_X2(L67)-BURLINGAME","7","bz_19-21 RR","","16GX-120","","bz_19-21 RR","","","","","","","","","","","",""
"20-Jul","11:00 AM","play to semi","MARINA HS","124","1st_bz_M-AMERICAN RIVER","10","1st_bz_P-SHAQ WHITE","11","171","164","16GX-124","","bz_play to semi","","","","","","","","","","","",""
"20-Jul","12:00 PM","bracket","MARINA HS","140","bz_W2(W115)-SAN FRANCISCO WARRIORS	","14","bz_W3(W83)-TRI VALLEY TRITONS","10","bracket","","16GX-140","","bz_bracket","","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","MARINA HS","148","W128-SOUTH VALLEY","10","W132-ROSE BOWL BLACK","6","164","188","16GX-148","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","2:00 PM","19-21 RR","MARINA HS","144","bz_X1(L115)-SACRAMENTO ORANGE	","8","bz_X3(L83)-NORCAL TEAL","9","bz_19-21 RR","","16GX-144","","bz_19-21 RR","","","","","","","","","","","",""
"20-Jul","3:00 PM","9-12 semi","MARINA HS","152","L132-LOYOLA VENICE","10","L128-WCAC UNITED B","7","183","184","16GX-152","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","4:00 PM","bracket","MARINA HS","156","bz_W1(L116)-TRI VALLEY","9","bz_W2(W115)-SAN FRANCISCO WARRIORS	","7","bracket","","16GX-156","","bz_bracket","","","","","","","","","","","",""
"20-Jul","5:00 PM","play to semi","MARINA HS","164","L124-AMERICAN RIVER","17","W148-SOUTH VALLEY","6","172","187","16GX-164","","bz_play to semi","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","bracket","CAPISTRANO VALLEY HS 1","135","bz_V1(L113)-PACIFIC VALLEY PREMIER","6","bz_V3(W67)-MID VALLEY WHITE","4","bracket","","16GX-135","","bz_bracket","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","CAPISTRANO VALLEY HS 1","127","2nd_bz_P-SHARKS","13","3rd_bz_O-BIG VALLEY","10","147","151","16GX-127","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","CAPISTRANO VALLEY HS 1","131","2nd_bz_M-CC UNITED","11","W114-SAN JOSE EXPRESS GOLD","3","147","151","16GX-131","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","play to semi","CAPISTRANO VALLEY HS 1","123","1st_bz_N-WCAC UNITED A","12","1st_bz_O-OAHU","3","172","163","16GX-123","","bz_play to semi","","","","","","","","","","","",""
"20-Jul","1:00 PM","bracket","CAPISTRANO VALLEY HS 1","139","bz_V2(L114)-TURUL","9","bz_V3(W67)-MID VALLEY WHITE","8","bracket","","16GX-139","","bz_bracket","","","","","","","","","","","",""
"20-Jul","2:00 PM","1-2 v 3-4","CAPISTRANO VALLEY HS 1","147","W127-SHARKS","6","W131-CC UNITED","10","163","188","16GX-147","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","CAPISTRANO VALLEY HS 1","151","L131-SAN JOSE EXPRESS GOLD","7","L127-BIG VALLEY","10","183","184","16GX-151","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","bracket","CAPISTRANO VALLEY HS 1","155","bz_V1(L113)-PACIFIC VALLEY PREMIER","8","bz_V2(L114)-TURUL","6","bracket","","16GX-155","","bz_bracket","","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","CAPISTRANO VALLEY HS 1","163","L123-OAHU","3","W147-CC UNITED","8","171","187","16GX-163","","bz_play to semi","","","","","","","","","","","",""
"","","7 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Tue, July 21","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","semi","GOLDEN WEST COLLEGE 1","171","W124-SHAQ WHITE","6.1","W163-CC UNITED","6.2","191","192","16GX-171","","bz_semi","","","","","","","","","","","",""
"21-Jul","8:00 AM","semi","GOLDEN WEST COLLEGE 1","172","W123-WCAC UNITED A","6","W164-AMERICAN RIVER","7","191","192","16GX-172","","bz_semi","","","","","","","","","","","",""
"21-Jul","9:00 AM","semi","GOLDEN WEST COLLEGE 1","173","W122-REGENCY","14","W161-LEGACY ORANGE","6","189","190","16GX-173","","ag_semi","","","","","","","","","","","",""
"21-Jul","10:00 AM","semi","GOLDEN WEST COLLEGE 1","174","W121-SAN CLEMENTE","15","W162-LAMORINDA B","6","189","190","16GX-174","","ag_semi","","","","","","","","","","","",""
"21-Jul","11:00 AM","3rd","GOLDEN WEST COLLEGE 1","192","L171-SHAQ WHITE","5","L172-WCAC UNITED A","10","bz_3rd","","16GX-192","","bz_3rd","","","","","","","","","","","",""
"21-Jul","12:00 PM","1st","GOLDEN WEST COLLEGE 1","191","W171-CC UNITED","16","W172-AMERICAN RIVER","4","bz_1st","","16GX-191","","bz_1st","","","","","","","","","","","",""
"21-Jul","1:00 PM","3rd","GOLDEN WEST COLLEGE 1","190","L173-LEGACY ORANGE","15","L174-LAMORINDA B","9","ag_3rd","","16GX-190","","ag_3rd","","","","","","","","","","","",""
"21-Jul","2:00 PM","1st","GOLDEN WEST COLLEGE 1","189","W173-REGENCY","7","W174-SAN CLEMENTE","10","ag_1st","","16GX-189","","ag_1st","","","","","","","","","","","",""
"","","","BUENA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","19-21 RR","BUENA PARK HS","168","bz_X2(L67)-BURLINGAME","2","bz_X3(L83)-NORCAL TEAL","6","bz_19-21 RR","","16GX-168","","bz_19-21 RR","","","","","","","","","","","",""
"21-Jul","8:00 AM","21-24 RR","BUENA PARK HS","165","3rd_ag_T-CHAWP BLUE","9","3rd_ag_U-SURF CITY","12","ag_21-24 RR","","16GX-165","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","9:00 AM","21-24 RR","BUENA PARK HS","166","3rd_ag_R-LAMORINDA BRENTWOOD","9.3","3rd_ag_S-LA JOLLA UNITED","9.2","ag_21-24 RR","","16GX-166","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","10:00 AM","17th","BUENA PARK HS","175","3rd bz_V-MID VALLEY WHITE","5","3rd bz_W-TRI VALLEY","7","bz_17th","","16GX-175","","bz_17th","","","","","","","","","","","",""
"21-Jul","11:00 AM","13th","BUENA PARK HS","179","1st_bz_V-PACIFIC VALLEY PREMIER","10","1st bz_W-SAN FRANCISCO WARRIORS","8","bz_13th","","16GX-179","","bz_13th","","","","","","","","","","","",""
"21-Jul","12:00 PM","11th","BUENA PARK HS","184","L151-SAN JOSE EXPRESS GOLD","4","L152-WCAC UNITED B","9","bz_11th","","16GX-184","","bz_11th","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","17th","PORTOLA HS 1","170","W157-SACRAMENTO BLACK","8","W158-TRILOGY","9","ag_17th","","16GX-170","","ag_17th","","","","","","","","","","","",""
"21-Jul","8:00 AM","15th","PORTOLA HS 1","177","L153-FOOTHILL","12","L154-COMMERCE","1","ag_15th","","16GX-177","","ag_15th","","","","","","","","","","","",""
"21-Jul","9:00 AM","5th","PORTOLA HS 1","186","L161-SET","15","L162-STANFORD B","7","ag_5th","","16GX-186","","ag_5th","","","","","","","","","","","",""
"21-Jul","10:00 AM","7th","PORTOLA HS 1","185","L145-MIDVALLEY BLUE","7.0","L146-SOCAL BLACK","7.2","ag_7th","","16GX-185","","ag_7th","","","","","","","","","","","",""
"21-Jul","11:00 AM","9th","PORTOLA HS 1","182","W149-CORONA DEL MAR","5","W150-ROSE BOWL RED A","6","ag_9th","","16GX-182","","ag_9th","","","","","","","","","","","",""
"21-Jul","12:00 PM","13th","PORTOLA HS 1","178","W153-CAL REPUBLIC","7.1","W154-LB SHORE","7.3","ag_13th","","16GX-178","","ag_13th","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","19th","CAPISTRANO VALLEY HS 1","169","L157-680 BLUE","9","L158-ALAMEDA","7","ag_19th","","16GX-169","","ag_19th","","","","","","","","","","","",""
"21-Jul","8:00 AM","15th","CAPISTRANO VALLEY HS 1","180","2nd bz_V-TURUL","8","2nd bz_W-TRI VALLEY TRITONS","7","bz_15th","","16GX-180","","bz_15th","","","","","","","","","","","",""
"21-Jul","9:00 AM","11th","CAPISTRANO VALLEY HS 1","181","L149-ASPHALT GREEN","9","L150-SOUTH COAST WHITE","4","ag_11th","","16GX-181","","ag_11th","","","","","","","","","","","",""
"21-Jul","10:00 AM","9th","CAPISTRANO VALLEY HS 1","183","W151-BIG VALLEY","18","W152-LOYOLA VENICE","12","bz_9th","","16GX-183","","bz_9th","","","","","","","","","","","",""
"21-Jul","11:00 AM","7th","CAPISTRANO VALLEY HS 1","188","L147-SHARKS","13","L148-ROSE BOWL BLACK","8","bz_7th","","16GX-188","","bz_7th","","","","","","","","","","","",""
"21-Jul","12:00 PM","5th","CAPISTRANO VALLEY HS 1","187","L163-OAHU","9.4","L164-SOUTH VALLEY","9.3","bz_5th","","16GX-187","","bz_5th","","","","","","","","","","","",""
"","","bz_Place","","","","","","","","","","","","","","","","","","","","","","",""
"","","1st","W191-CC UNITED","","","","","","","","","","","","","","","","","","","","","",""
"","","2nd","L191-AMERICAN RIVER","","","","","","","","","","","","","","","","","","","","","",""
"","","3rd","W192-WCAC UNITED A","","","","","","","","","","","","","","","","","","","","","",""
"","","4th","L192-SHAQ WHITE","","","","","","","","","","","","","","","","","","","","","",""
"","","5th","W187-OAHU","","","","","","","","","","","","","","","","","","","","","",""
"","","6th","L187-SOUTH VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","7th","W188-SHARKS","","","","","","","","","","","","","","","","","","","","","",""
"","","8th","L188-ROSE BOWL BLACK","","","","","","","","","","","","","","","","","","","","","",""
"","","9th","W183-BIG VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","10th","L183-LOYOLA VENICE","","","","","","","","","","","","","","","","","","","","","",""
"","","11th","W184-WCAC UNITED B","","","","","","","","","","","","","","","","","","","","","",""
"","","12th","L184-SAN JOSE EXPRESS GOLD","","","","","","","","","","","","","","","","","","","","","",""
"","","13th","W179-PACIFIC VALLEY PREMIER","","","","","","","","","","","","","","","","","","","","","",""
"","","14th","L179-SAN FRANCISCO WARRIORS","","","","","","","","","","","","","","","","","","","","","",""
"","","15th","W180-TURUL","","","","","","","","","","","","","","","","","","","","","",""
"","","16th","L180-TRI VALLEY TRITONS","","","","","","","","","","","","","","","","","","","","","",""
"","","17th","W175-TRI VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","18th","L175-MID VALLEY WHITE","","","","","","","","","","","","","","","","","","","","","",""
"","","19th","SACRAMENTO ORANGE","","","","","","","","","","","","","","","","","","","","","",""
"","","20th","NORCAL TEAL","","","","","","","","","","","","","","","","","","","","","",""
"","","21st","BURLINGAME","","","","","","","","","","","","","","","","","","","","","",""
