"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","",""
"20-Jul","2:00 PM","13-16 semi","BECKMAN HS 1","153","W133-MID VALLEY","4.3","W137-SEASIDE","4.4","178","177","14GX-153","","ag_13-16 semi","X","","","","","","","","","","",""
"20-Jul","3:00 PM","play to semi","BECKMAN HS 1","161","L121-PALOS VERDES","10","W145-VIKING","6","173","186","14GX-161","","ag_play to semi","X","","","","","","","","","","",""
"20-Jul","4:00 PM","play to semi","BECKMAN HS 1","162","L122-SET","4","W146-PAC PREMIER","9","174","186","14GX-162","","ag_play to semi","X","","","","","","","","","","",""
"20-Jul","5:00 PM","21-24 RR","BECKMAN HS 1","141","3rd_ag_T-PLACER","3","3rd_ag_R-HONOLULU","4","","","14GX-141","","ag_21-24 RR","X","","","","","","","","","","",""
"","","","GARDEN GROVE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","GARDEN GROVE HS","126","2nd_ag_O-SAN JOSE EXPRESS BLUE","13","W112-SHARKS","4","146","150","14GX-126","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","GARDEN GROVE HS","130","2nd_ag_N-PAC PREMIER","15","W109-FOOTHILL RED","6","146","150","14GX-130","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 quarter","GARDEN GROVE HS","134","L109-SOCAL","7","2nd_ag_T-NORCAL","6","154","158","14GX-134","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 quarter","GARDEN GROVE HS","138","L111-680 BLUE","7","2nd_ag_R-ECA","5","154","158","14GX-138","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","12:00 PM","5-6 vs 7-8","GARDEN GROVE HS","146","W126-SAN JOSE EXPRESS BLUE","7","W130-PAC PREMIER","8","162","185","14GX-146","","ag_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","1:00 PM","9-12 semi","GARDEN GROVE HS","150","L130-FOOTHILL RED","14","L126-SHARKS","8","182","181","14GX-150","","ag_9-12 semi","x","","","","","","","","","","",""
"20-Jul","2:00 PM","13-16 semi","GARDEN GROVE HS","154","W134-SOCAL","2","W138-680 BLUE","4","178","177","14GX-154","","ag_13-16 semi","x","","","","","","","","","","",""
"20-Jul","3:00 PM","17-20 semi","GARDEN GROVE HS","158","L138-ECA","2","L134-NORCAL","6","170","169","14GX-158","","ag_17-20 semi","x","","","","","","","","","","",""
"20-Jul","4:00 PM","21-24 RR","GARDEN GROVE HS","142","3rd_ag_U-CT PREMIER","15","3rd_ag_S-ASPHALT GREEN","7","","","14GX-142","","ag_21-24 RR","x","","","","","","","","","","",""
"Tue, July 21","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SAN JUAN HILLS HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","21-24 RR","SAN JUAN HILLS HS","165","3rd_ag_T-PLACER","5","3rd_ag_U-CT PREMIER","6","","","14GX-165","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","8:00 AM","11th","SAN JUAN HILLS HS","181","L149-NEWPORT BEACH WHITE","8","L150-SHARKS","3","ag_11th","","14GX-181","","ag_11th","","","","","","","","","","","",""
"21-Jul","9:00 AM","15th","SAN JUAN HILLS HS","177","L153-MID VALLEY","10","L154-SOCAL","6","ag_15th","","14GX-177","","ag_15th","","","","","","","","","","","",""
"21-Jul","10:00 AM","13th","SAN JUAN HILLS HS","178","W153-SEASIDE","5","W154-680 BLUE","9","ag_13th","","14GX-178","","ag_13th","","","","","","","","","","","",""
"21-Jul","11:00 AM","17th","SAN JUAN HILLS HS","170","W157-BACK BAY","9","W158-NORCAL","8","ag_17th","","14GX-170","","ag_17th","","","","","","","","","","","",""
"21-Jul","12:00 PM","19th","SAN JUAN HILLS HS","169","L157-NORTH IRVINE","3","L158-ECA","6","ag_19th","","14GX-169","","ag_19th","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","21-24 RR","VILLA PARK HS","166","3rd_ag_R-HONOLULU","6","3rd_ag_S-ASPHALT GREEN","4","","","14GX-166","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","8:00 AM","13-15 RR","VILLA PARK HS","167","bz_X1-SAN JOSE EXPRESS GOLD","9","bz_X2-CLOVIS B","2","","","14GX-167","","bz_13-15 RR","","","","","","","","","","","",""
"21-Jul","9:00 AM","9th","VILLA PARK HS","183","W151-TURUL","6","W152-CHAWP BLUE","12","bz_9th","","14GX-183","","bz_9th","","","","","","","","","","","",""
"21-Jul","10:00 AM","11th","VILLA PARK HS","184","L151-ALAMEDA","8","L152-PATRIOT RED","9","bz_11th","","14GX-184","","bz_11th","","","","","","","","","","","",""
"21-Jul","11:00 AM","13-15 RR","VILLA PARK HS","179","bz_X2-CLOVIS B","7.1","bz_X3-TROJAN","7.3","","","14GX-179","","bz_13-15 RR","","","","","","","","","","","",""
"","","","OCEAN VIEW HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","9th","OCEAN VIEW HS 1","182","W149-GOLD COAST","7","W150-FOOTHILL RED","6","ag_9th","","14GX-182","","ag_9th","","","","","","","","","","","",""
"21-Jul","8:00 AM","7th","OCEAN VIEW HS 1","185","L145-LOS ALAMITOS","4","L146-SAN JOSE EXPRESS BLUE","7","ag_7th","","14GX-185","","ag_7th","","","","","","","","","","","",""
"21-Jul","9:00 AM","5th","OCEAN VIEW HS 1","186","L161-VIKING","15","L162-SET","10","ag_5th","","14GX-186","","ag_5th","","","","","","","","","","","",""
"21-Jul","10:00 AM","5th","OCEAN VIEW HS 1","187","L163-CHULA VISTA PREMIER","10","L164-SOUTH COAST WHITE","5","bz_5th","","14GX-187","","bz_5th","","","","","","","","","","","",""
"21-Jul","11:00 AM","7th","OCEAN VIEW HS 1","188","L147-WCAC UNITED","8","L148-PRAETORIAN","7","bz_7th","","14GX-188","","bz_7th","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","semi","BECKMAN HS 1","171","W124-SD SHORES WHITE	","10","W163-FOOTHILL BLACK","5","191","192","14GX-171","","bz_semi","","","","","","","","","","","",""
"21-Jul","8:00 AM","semi","BECKMAN HS 1","172","W123-STANFORD C","8","W164-BULLDOG","4","191","192","14GX-172","","bz_semi","","","","","","","","","","","",""
"21-Jul","9:00 AM","semi","BECKMAN HS 1","173","W122-SANTA BARBARA WPC B","7","W161-PALOS VERDES","4","189","190","14GX-173","","ag_semi","","","","","","","","","","","",""
"21-Jul","10:00 AM","semi","BECKMAN HS 1","174","W121-ROSE BOWL","14","W162-PAC PREMIER","10","189","190","14GX-174","","ag_semi","","","","","","","","","","","",""
"21-Jul","11:00 AM","3rd","BECKMAN HS 1","192","L171-FOOTHILL BLACK","6.1","L172-BULLDOG","6.3","bz_3rd","","14GX-192","","bz_3rd","","","","","","","","","","","",""
"21-Jul","12:00 PM","1st","BECKMAN HS 1","191","W171-SD SHORES WHITE	","6","W172-STANFORD C","3","bz_1st","","14GX-191","","bz_1st","","","","","","","","","","","",""
"21-Jul","1:00 PM","3rd","BECKMAN HS 1","190","L173-PALOS VERDES","16","L174-PAC PREMIER","11","ag_3rd","","14GX-190","","ag_3rd","","","","","","","","","","","",""
"21-Jul","2:00 PM","1st","BECKMAN HS 1","189","W173-SANTA BARBARA WPC B","6","W174-ROSE BOWL","10","ag_1st","","14GX-189","","ag_1st","","","","","","","","","","","",""
"","","bz_Place","","","","","","","","","","","","","","","","","","","","","","",""
"","","1st","W191-SD SHORES WHITE	","","","","","","","","","","","","","","","","","","","","","",""
"","","2nd","L191-STANFORD C","","","","","","","","","","","","","","","","","","","","","",""
"","","3rd","W192-BULLDOG","","","","","","","","","","","","","","","","","","","","","",""
"","","4th","L192-FOOTHILL BLACK","","","","","","","","","","","","","","","","","","","","","",""
"","","5th","W187-CHULA VISTA PREMIER","","","","","","","","","","","","","","","","","","","","","",""
"","","6th","L187-SOUTH COAST WHITE","","","","","","","","","","","","","","","","","","","","","",""
"","","7th","W188-WCAC UNITED","","","","","","","","","","","","","","","","","","","","","",""
"","","8th","L188-PRAETORIAN","","","","","","","","","","","","","","","","","","","","","",""
"","","9th","W183-CHAWP BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","10th","L183-TURUL","","","","","","","","","","","","","","","","","","","","","",""
"","","11th","W184-PATRIOT RED","","","","","","","","","","","","","","","","","","","","","",""
"","","12th","L184-ALAMEDA","","","","","","","","","","","","","","","","","","","","","",""
"","","13th","SAN JOSE EXPRESS GOLD","","","","","","","","","","","","","","","","","","","","","",""
"","","14th","CLOVIS B","","","","","","","","","","","","","","","","","","","","","",""
"","","15th","TROJAN","","","","","","","","","","","","","","","","","","","","","",""
