"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","FULLERTON HS","134","L109-TRI VALLEY","3","2nd ag_T-NC SELECT","15","158","162","18GX-134","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","FULLERTON HS","138","L110-CHAWP BLUE","12","2nd ag_R-KEARNS","6","158","162","18GX-138","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","FULLERTON HS","142","3rd ag_U-CHULA VISTA PREMIER","8.1","3rd ag_S-CHICAGO PARK","8.2","","","18GX-142","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","3:00 PM","21-24 RR","FULLERTON HS","146","3rd ag_T-A TOWN","13","3rd ag_R-A TEAM CALLED QUEST","5","","","18GX-146","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","4:00 PM","13-16 semi","FULLERTON HS","150","W126-SAN JOSE ALMADEN","10","W130-MID VALLEY WHITE","3","178","177","18GX-150","","","ag 13-16 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","FULLERTON HS","154","L130-PRAETORIAN","5","L126-MAVERICKS","7","170","169","18GX-154","","","ag 17-20 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","13-16 semi","FULLERTON HS","158","W134-NC SELECT","10.4","W138-CHAWP BLUE","10.2","178","177","18GX-158","","","ag 13-16 semi","","","","","","","","","","",""
"20-Jul","7:00 PM","17-20 semi","FULLERTON HS","162","L138-KEARNS","5","L134-TRI VALLEY","9","170","169","18GX-162","","","ag 17-20 semi","","","","","","","","","","",""
"","","","SONORA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","SONORA HS","119","2nd bz_P-NWC","11","W112-LA VERNE LEGENDS","9","143","151","18GX-119","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","SONORA HS","123","2nd bz_M-COMMERCE","12","W115-HILO HAMMAHZ","3","143","151","18GX-123","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","SONORA HS","127","2nd bz_O-TRI VALLEY TRITONS","5","W116-SOUTHSIDE","8","147","155","18GX-127","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","SONORA HS","131","2nd bz_N-BROOKLYN HUSTLE","9","W111-LONGHORN","5","147","155","18GX-131","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","12:00 PM","1-2 v 3-4","SONORA HS","135","1st bz_N-SAN JOSE EXPRESS","8","1st bz_O-SFV","5","172","159","18GX-135","","","bz 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","SONORA HS","139","1st bz_M-NORTH IRVINE","15","1st bz_P-KERN PREMIER","4","171","163","18GX-139","","","bz 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 v 7-8","SONORA HS","143","W119-NWC","8","W123-COMMERCE","14","159","188","18GX-143","","","bz 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","SONORA HS","147","W127-SOUTHSIDE","9","W131-BROOKLYN HUSTLE","8","163","188","18GX-147","","","bz 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","SONORA HS","151","L123-HILO HAMMAHZ","9","L119-LA VERNE LEGENDS","11","183","184","18GX-151","","","bz 9-12 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","9-12 semi","SONORA HS","155","L131-LONGHORN","8","L127-TRI VALLEY TRITONS","4","183","184","18GX-155","","","bz 9-12 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","SONORA HS","159","L135-SFV","6","W143-COMMERCE","14","171","187","18GX-159","","","bz play to semi","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","SONORA HS","163","L139-KERN PREMIER","10","W147-SOUTHSIDE","9","172","187","18GX-163","","","bz play to semi","","","","","","","","","","",""
"","","","OCEAN VIEW HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","13-20 qtr","OCEAN VIEW HS 1","128","L115-DART","18","L100-HILO GRAMMAZ","2","152","156","18GX-128","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","9:00 AM","13-20 qtr","OCEAN VIEW HS 1","132","L116-MOOSE","5","L99-CENTRAL COAST","6","152","156","18GX-132","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 qtr","OCEAN VIEW HS 1","136","L111-BURLINGAME","5","L96-ATWATER","4","160","164","18GX-136","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 qtr","OCEAN VIEW HS 1","140","L112-WILDKIT","10","L95-SAND CANYON","9","160","164","18GX-140","","","bz 13-20 qtr","","","","","","","","","","",""
"","","","EDISON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"20-Jul","2:00 PM","13-16 semi","EDISON HS","152","W128-DART","3","W132-CENTRAL COAST","4","179","180","18GX-152","","","bz 13-16 semi","","","","","","","","","","",""
"20-Jul","3:00 PM","17-20 semi","EDISON HS","156","L132-MOOSE","18","L128-HILO GRAMMAZ","3","175","176","18GX-156","","","bz 17-20 semi","","","","","","","","","","",""
"20-Jul","4:00 PM","13-16 semi","EDISON HS","160","W136-BURLINGAME","6.4","W140-WILDKIT","6.3","179","180","18GX-160","","","bz 13-16 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","EDISON HS","164","L140-SAND CANYON","8","L136-ATWATER","16","175","176","18GX-164","","","bz 17-20 semi","","","","","","","","","","",""
"Tue, July 21","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SERVITE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"21-Jul","8:00 AM","9th","SERVITE HS","182","W149-WCAC UNITED","9","W153-ALAMEDA","13","","","18GX-182","no game 167","pt_9th","ag 9th","","","","","","","","","","",""
"21-Jul","9:00 AM","7th","SERVITE HS","185","L141-LA JOLLA UNITED","11","L145-SOCAL GOLD","7","","","18GX-185","no game 168","pt_7th","ag 7th","","","","","","","","","","",""
"21-Jul","10:00 AM","5th","SERVITE HS","186","L157-SACRAMENTO","10","L161-SANTA BARBARA WPC C","9","","","18GX-186","","pt_5th","ag 5th","","","","","","","","","","",""
"21-Jul","11:00 AM","11th","SERVITE HS","181","L149-AMERICAN RIVER","13","L153-WEST VALLEY","3","","","18GX-181","","pt_11th","ag 11th","","","","","","","","","","",""
"21-Jul","12:00 PM","13th","SERVITE HS","178","W150-SAN JOSE ALMADEN","6","W158-NC SELECT","8","","","18GX-178","","pt_13th","ag 13th","","","","","","","","","","",""
"21-Jul","1:00 PM","15th","SERVITE HS","177","L150-MID VALLEY WHITE","9","L158-CHAWP BLUE","12","","","18GX-177","","pt_15th","ag 15th","","","","","","","","","","",""
"","","","LA SERNA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","9th","LA SERNA HS","183","W151-LA VERNE LEGENDS","3","W155-LONGHORN","5","","","18GX-183","","au_9th","bz 9th","","","","","","","","","","",""
"21-Jul","8:00 AM","7th","LA SERNA HS","188","L143-NWC","5","L147-BROOKLYN HUSTLE","11","","","18GX-188","","au_7th","bz 7th","","","","","","","","","","",""
"21-Jul","9:00 AM","5th","LA SERNA HS","187","L159-SFV","12","L163-SOUTHSIDE","10","","","18GX-187","","au_5th","bz 5th","","","","","","","","","","",""
"21-Jul","10:00 AM","11th","LA SERNA HS","184","L151-HILO HAMMAHZ","3","L155-TRI VALLEY TRITONS","5","","","18GX-184","","au_11th","bz 11th","","","","","","","","","","",""
"21-Jul","11:00 AM","13th","LA SERNA HS","179","W152-CENTRAL COAST","5","W160-BURLINGAME","13","","","18GX-179","","au_13th","bz 13th","","","","","","","","","","",""
"21-Jul","12:00 PM","15th","LA SERNA HS","180","L152-DART","11","L160-WILDKIT","0","","","18GX-180","","au_15th","bz 15th","","","","","","","","","","",""
"","","","SONORA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","21-24 RR","SONORA HS","165","3rd ag_T-A TOWN","5","3rd ag_U-CHULA VISTA PREMIER","4","","","18GX-165","","pt_21-24 RR","ag 21-24 RR","","","","","","","","","","",""
"21-Jul","8:00 AM","21-24 RR","SONORA HS","166","3rd ag_R-A TEAM CALLED QUEST","6","3rd ag_S-CHICAGO PARK","4","","","18GX-166","","pt_21-24 RR","ag 21-24 RR","","","","","","","","","","",""
"21-Jul","9:00 AM","17th","SONORA HS","170","W154-MAVERICKS","8","W162-TRI VALLEY","5","","","18GX-170","","pt_17th","ag 17th","","","","","","","","","","",""
"21-Jul","10:00 AM","19th","SONORA HS","169","L154-PRAETORIAN","8.1","L162-KEARNS","8.3","","","18GX-169","","pt_19th","ag 19th","","","","","","","","","","",""
"21-Jul","11:00 AM","17th","SONORA HS","175","W156-MOOSE","9","W164-ATWATER","5","","","18GX-175","","au_17th","bz 17th","","","","","","","","","","",""
"21-Jul","12:00 PM","19th","SONORA HS","176","L156-HILO GRAMMAZ","4","L164-SAND CANYON","20","","","18GX-176","","au_19th","bz 19th","","","","","","","","","","",""
"","","","EDISON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","Semi","EDISON HS","171","W139-NORTH IRVINE","8","W159-COMMERCE","6","190","189","18GX-171","","au_Semi","bz Semi","","","","","","","","","","",""
"21-Jul","8:00 AM","Semi","EDISON HS","172","W135-SAN JOSE EXPRESS","11","W163-KERN PREMIER","6","190","189","18GX-172","","au_Semi","bz Semi","","","","","","","","","","",""
"21-Jul","9:00 AM","semi","EDISON HS","173","W137-SAN CLEMENTE","9.5","W157-TSUNAMI","9.6","192","191","18GX-173","","pt_semi","ag semi","","","","","","","","","","",""
"21-Jul","10:00 AM","semi","EDISON HS","174","W133-LB VIKING BLUE","10","W161-PATRIOT NAVY","6","192","191","18GX-174","","pt_semi","ag semi","","","","","","","","","","",""
"21-Jul","11:00 AM","3rd","EDISON HS","189","L171-COMMERCE","14","L172-KERN PREMIER","8","","","18GX-189","","au_3rd","bz 3rd","","","","","","","","","","",""
"21-Jul","12:00 PM","1st","EDISON HS","190","W171-NORTH IRVINE","14","W172-SAN JOSE EXPRESS","6","","","18GX-190","","au_1st","bz 1st","","","","","","","","","","",""
"21-Jul","1:00 PM","3rd","EDISON HS","191","L173-SAN CLEMENTE","7","L174-PATRIOT NAVY","5","","","18GX-191","","pt_3rd","ag 3rd","","","","","","","","","","",""
"21-Jul","2:00 PM","1st","EDISON HS","192","W173-TSUNAMI","12","W174-LB VIKING BLUE","8","","","18GX-192","","pt_1st","ag 1st","","","","","","","","","","",""
"","","bz_Place","","","","","","","","","","","","","","","","","","","","","","",""
"","","1st","W190-NORTH IRVINE","","","","","","","","","","","","","","","","","","","","","",""
"","","2nd","L190-SAN JOSE EXPRESS","","","","","","","","","","","","","","","","","","","","","",""
"","","3rd","W189-COMMERCE","","","","","","","","","","","","","","","","","","","","","",""
"","","4th","L189-KERN PREMIER","","","","","","","","","","","","","","","","","","","","","",""
"","","5th","W187-SFV","","","","","","","","","","","","","","","","","","","","","",""
"","","6th","L187-SOUTHSIDE","","","","","","","","","","","","","","","","","","","","","",""
"","","7th","W188-BROOKLYN HUSTLE","","","","","","","","","","","","","","","","","","","","","",""
"","","8th","L188-NWC","","","","","","","","","","","","","","","","","","","","","",""
"","","9th","W183-LONGHORN","","","","","","","","","","","","","","","","","","","","","",""
"","","10th","L183-LA VERNE LEGENDS","","","","","","","","","","","","","","","","","","","","","",""
"","","11th","W184-TRI VALLEY TRITONS","","","","","","","","","","","","","","","","","","","","","",""
"","","12th","L184-HILO HAMMAHZ","","","","","","","","","","","","","","","","","","","","","",""
"","","13th","W179-BURLINGAME","","","","","","","","","","","","","","","","","","","","","",""
"","","14th","L179-CENTRAL COAST","","","","","","","","","","","","","","","","","","","","","",""
"","","15th","W180-DART","","","","","","","","","","","","","","","","","","","","","",""
"","","16th","L180-WILDKIT","","","","","","","","","","","","","","","","","","","","","",""
"","","17th","W175-MOOSE","","","","","","","","","","","","","","","","","","","","","",""
"","","18th","L175-ATWATER","","","","","","","","","","","","","","","","","","","","","",""
"","","19th","W176-SAND CANYON","","","","","","","","","","","","","","","","","","","","","",""
"","","20th","L176-HILO GRAMMAZ","","","","","","","","","","","","","","","","","","","","","",""
